Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~IMX6ULL开发板.PrjPCB|ReportField=ProjectFullPath~E:\我的工程项目\imx6ull开发板\PCB\IMX6ULL开发板.PrjPCB|ReportField=Title~Bill of Materials For Project [IMX6ULL开发板.PrjPCB] (PCB Document : imx6ull开发板.PcbDoc)|ReportField=TotalQuantity~188|ReportField=ReportTime~17:13:05|ReportField=ReportDate~2020/6/12|ReportField=ReportDateTime~2020/6/12 17:13:05|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020/6/12|ReportField=CurrentTime~17:11:29|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\我的工程项目\imx6ull开发板\PCB\CONNECT.SchDoc|ReportField=DocumentName~CONNECT.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020/6/9|ReportField=Organization~|ReportField=ProjectName~IMX6ULL开发板.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~IMX6ULL开发板.PrjPCB|ReportField=DataSourceFullPath~E:\我的工程项目\imx6ull开发板\PCB\IMX6ULL开发板.PrjPCB|ReportField=PCBDataSourceFileName~imx6ull开发板.PcbDoc|ReportField=PCBDataSourceFullPath~E:\我的工程项目\imx6ull开发板\PCB\imx6ull开发板.PcbDoc
1|RS232/RS485|3*2P接插件|1, 2, JP2, UART3|HDR-3X2|Header 3X2|4
2|AHT10||AHT10|AHT10 温湿度传感器|AHT10 温湿度传感器|1
3|ATK MODULE|ATK-HC05|ATK_MODULE|HEAD6|ATK-HC05|1
4|1220|微型电池|BAT1|CR1220_B|CR-3V|1
5|BEEP|蜂鸣器|BEEP1|BEEP 5x9x5.5|BEEP|1
6|BMP280||BMP1|BMP280|BMP280|1
7|CSW-8P|8路编码开关|BOOT_CFG1|CSW DIP-8P|CSW-8P|1
8|104||C1, C2, C3, C7, C9, C10, C12, C16, C22, C25, C27, C28, C29, C30, C31, C32, C33, C34, C36, C38, C39, C41, C42, C43, C46, C47, C48, C49, C50, C53|C_0603P|C|30
9|103||C4, C6|C_0603P|C|2
10|Cap Pol1|Polarized Capacitor (Radial)|C5, C8|CAP2.54M|Cap Pol1|2
11|22UF||C11, C13, C17, C18|C_0603P|C|4
12|Cap2|Capacitor|C14|CAP2.54M|Cap2|1
13|1uF||C15, C19, C37, C44, C45|C_0603P|C|5
14|10uF||C20|C_0805|C|1
15|10uf||C21, C23, C24, C26, C35|C_0603P|C|5
16|106||C40|C_0603P|C|1
17|102||C51|C_0603P|C|1
18|Header 9X2|Header, 9-Pin, Dual row|CAMERA|HDR2X9|Header 9X2|1
19|CAN||CAN1|KF301-2P|HEAD2|1
20|SS34|1N4148|D1, D2, D5|DIODE 3*5.3|D|3
21|SMBJ5.0A|TVS|D3|SMBJ|SMBJ|1
22|SMBJ3.3A|TVS|D4|SMBJ|SMBJ|1
23|RB521S-30|1N4148|D6, D7|DIODE 3*5.3|D|2
24|POWER|低压电源接口|DC_IN1|DC10B|P-DC|1
25|RED|贴片LED|DS1, DS2, DS3|LED 0805R|LED-SMD|3
26|E22-400T2S||E1|PE22-400T22S|E22-400T2S|1
27|HR911105A|带灯以太网接口|ENET1|RJ-45A12|HR911105A|1
28|I.MX6UL_CORE|I.MX6UL核心板|I.MX1|I.MX6UL_CORE|I.MX6UL核心板|1
